Date,Task,ResponseTime(ms),CharacterCount,ModelUsed,IncludeContext
6/8/2025 11:27:25 PM,Reasoning,18082,6,Deepseek R1,True
6/8/2025 11:27:30 PM,Reasoning,5010,44,Deepseek R1,True
6/8/2025 11:27:41 PM,Reasoning,10609,6,Deepseek R1,True
6/8/2025 11:27:47 PM,Reasoning,6137,6,Deepseek R1,True
6/8/2025 11:27:56 PM,Reasoning,8491,6,Deepseek R1,True
6/8/2025 11:28:01 PM,Reasoning,4982,6,Deepseek R1,True
6/8/2025 11:28:10 PM,Reasoning,8836,6,Deepseek R1,True
6/8/2025 11:28:15 PM,Reasoning,5375,6,Deepseek R1,True
6/8/2025 11:28:29 PM,Reasoning,13358,82,Deepseek R1,True
6/8/2025 11:28:35 PM,Reasoning,6757,6,Deepseek R1,True
6/8/2025 11:29:29 PM,Reasoning,53411,6,Deepseek R1,True
6/8/2025 11:29:34 PM,Reasoning,5269,8,Deepseek R1,True
6/8/2025 11:31:13 PM,Reasoning,98894,1,Deepseek R1,True
6/8/2025 11:31:59 PM,Reasoning,46404,6,Deepseek R1,True
6/8/2025 11:32:08 PM,Reasoning,8944,875,Deepseek R1,True
6/8/2025 11:33:17 PM,Reasoning,68622,6,Deepseek R1,True
6/8/2025 11:36:23 PM,Reasoning,185454,6,Deepseek R1,True
6/8/2025 11:37:14 PM,Reasoning,51089,6,Deepseek R1,True
6/8/2025 11:37:20 PM,Reasoning,6597,6,Deepseek R1,True
6/8/2025 11:37:28 PM,Reasoning,7554,6,Deepseek R1,True
6/8/2025 11:37:39 PM,Reasoning,10651,534,Deepseek R1,True
6/8/2025 11:37:45 PM,Dialogue,6521,1,Gemma 3B,True
6/8/2025 11:37:46 PM,Dialogue,595,142,Gemma 3B,True
6/8/2025 11:37:47 PM,Dialogue,1323,336,Gemma 3B,True
6/8/2025 11:37:49 PM,Dialogue,1373,284,Gemma 3B,True
6/8/2025 11:37:50 PM,Dialogue,1228,262,Gemma 3B,True
6/8/2025 11:37:52 PM,Dialogue,1518,322,Gemma 3B,True
6/8/2025 11:37:53 PM,Dialogue,1673,410,Gemma 3B,True
6/8/2025 11:37:55 PM,Dialogue,1630,368,Gemma 3B,True
6/8/2025 11:37:57 PM,Dialogue,1589,292,Gemma 3B,True
6/8/2025 11:37:58 PM,Dialogue,1467,276,Gemma 3B,True
6/8/2025 11:38:10 PM,Reasoning,11292,6,Deepseek R1,True
6/8/2025 11:38:15 PM,Reasoning,5705,8,Deepseek R1,True
6/8/2025 11:38:27 PM,Reasoning,11973,1,Deepseek R1,True
6/8/2025 11:38:37 PM,Reasoning,9863,6,Deepseek R1,True
6/8/2025 11:38:42 PM,Reasoning,4627,6,Deepseek R1,True
6/8/2025 11:38:46 PM,Reasoning,4479,6,Deepseek R1,True
6/8/2025 11:38:52 PM,Reasoning,5571,8,Deepseek R1,True
